ct2010,count,NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y,area_code
1.0,454,"Census Tract 1, Kings County, New York",1261.0,4539.0, New York,47,100,36047000100,Census Tract 1, Kings County,9886,11958,207819.0,0.0,40.700215,-73.9938089,35620.0,"New York-Newark-Jersey City, N",3.327787,3.3,0.02062550005,2.214308e-05,4,207819,1.0
2.0,1677,"Census Tract 2, Bronx County, New York",913.0,4167.0, New York,5,200,36005000200,Census Tract 2, Bronx County,8765,10739,452832.0,852406.0,40.8081797,-73.8566781,35620.0,"New York-Newark-Jersey City, N",3.630646,3.6,0.05687659884,0.00013929258,4,1305242,2.0
2.0,1677,"Census Tract 2, Kings County, New York",264.0,992.0, New York,47,200,36047000200,Census Tract 2, Kings County,9887,11959,276929.0,0.0,40.6532475,-74.0110678,35620.0,"New York-Newark-Jersey City, N",3.763572,3.8,0.02891866226,2.94864e-05,4,276929,2.0
2.0,1677,"Census Tract 2, Queens County, New York",642.0,2638.0, New York,81,200,36081000200,Census Tract 2, Queens County,9309,11351,156595.0,0.0,40.6932923,-73.8661578,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01635715049,1.668352e-05,3,156595,2.0
2.01,44,"Census Tract 2.01, New York County, New York",660.0,2761.0, New York,61,201,36061000201,Census Tract 2.01, New York County,8684,10645,90233.0,75976.0,40.7098961,-73.9855833,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02299502449,1.771225e-05,4,166210,2.01
2.02,56,"Census Tract 2.02, New York County, New York",1729.0,6908.0, New York,61,202,36061000202,Census Tract 2.02, New York County,8685,10646,310040.0,428737.0,40.7056637,-73.9814548,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03658286304,7.872825e-05,4,738778,2.02
3.0,165,"Census Tract 3, Richmond County, New York",538.0,2123.0, New York,85,300,36085000300,Census Tract 3, Richmond County,8116,9987,377461.0,2080565.0,40.6433411,-74.0752575,35620.0,"New York-Newark-Jersey City, N",3.906053,3.9,0.06989787704,0.0002616856,4,2458026,3.0
3.01,272,"Census Tract 3.01, Kings County, New York",906.0,3642.0, New York,47,301,36047000301,Census Tract 3.01, Kings County,9888,11960,200995.0,0.0,40.6963723,-73.9973735,35620.0,"New York-Newark-Jersey City, N",2.066013,2.1,0.0200494426,2.141486e-05,2,200995,3.01
4.0,1495,"Census Tract 4, Bronx County, New York",1469.0,5684.0, New York,5,400,36005000400,Census Tract 4, Bronx County,8784,10758,770689.0,690794.0,40.8087867,-73.8514252,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.06121502956,0.00015597111,4,1461482,4.0
4.0,1495,"Census Tract 4, Queens County, New York",991.0,4280.0, New York,81,400,36081000400,Census Tract 4, Queens County,9270,11311,224878.0,0.0,40.6896831,-73.8647717,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02069235929,2.39571e-05,3,224879,4.0
5.01,162,"Census Tract 5.01, Kings County, New York",670.0,4486.0, New York,47,501,36047000501,Census Tract 5.01, Kings County,8761,10735,83724.0,0.0,40.6958143,-73.9947007,35620.0,"New York-Newark-Jersey City, N",2.058721,2.1,0.01443490315,8.92042e-06,2,83726,5.01
5.02,150,"Census Tract 5.02, Kings County, New York",491.0,2654.0, New York,47,502,36047000502,Census Tract 5.02, Kings County,9345,11392,96799.0,0.0,40.6951344,-73.9928614,35620.0,"New York-Newark-Jersey City, N",2.127649,2.1,0.01486783606,1.031324e-05,2,96800,5.02
6.0,1357,"Census Tract 6, New York County, New York",2586.0,10628.0, New York,61,600,36061000600,Census Tract 6, New York County,8686,10648,240406.0,176018.0,40.7102579,-73.9880558,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02817360776,4.43767e-05,4,416425,6.0
6.0,1357,"Census Tract 6, Queens County, New York",888.0,4039.0, New York,81,600,36081000600,Census Tract 6, Queens County,9271,11312,214286.0,0.0,40.6859083,-73.8637277,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02039520267,2.282737e-05,3,214286,6.0
6.0,1357,"Census Tract 6, Richmond County, New York",421.0,2331.0, New York,85,600,36085000600,Census Tract 6, Richmond County,8117,9988,666769.0,2045497.0,40.6104075,-74.060977,35620.0,"New York-Newark-Jersey City, N",3.14538,3.1,0.07698370332,0.00028863937,3,2712266,6.0
7.0,1474,"Census Tract 7, Kings County, New York",936.0,3899.0, New York,47,700,36047000700,Census Tract 7, Kings County,7541,9318,176774.0,0.0,40.6923505,-73.9973434,35620.0,"New York-Newark-Jersey City, N",3.158856,3.2,0.02062007625,1.88332e-05,3,176775,7.0
7.0,1474,"Census Tract 7, Richmond County, New York",1077.0,4325.0, New York,85,700,36085000700,Census Tract 7, Richmond County,8622,10580,528114.0,605460.0,40.6478262,-74.0809582,35620.0,"New York-Newark-Jersey City, N",3.449973,3.4,0.05025807145,0.00012068715,4,1133575,7.0
8.0,2483,"Census Tract 8, New York County, New York",2402.0,9292.0, New York,61,800,36061000800,Census Tract 8, New York County,8668,10629,220708.0,167906.0,40.7101181,-73.9932525,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03096295473,4.141263e-05,4,388613,8.0
8.0,2483,"Census Tract 8, Queens County, New York",744.0,3146.0, New York,81,800,36081000800,Census Tract 8, Queens County,9272,11313,189824.0,0.0,40.6873473,-73.8582587,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01886898573,2.022191e-05,3,189824,8.0
8.0,2483,"Census Tract 8, Richmond County, New York",1461.0,5553.0, New York,85,800,36085000800,Census Tract 8, Richmond County,8118,9989,799850.0,0.0,40.6119514,-74.0677131,35620.0,"New York-Newark-Jersey City, N",3.584842,3.6,0.0444327921,8.511325e-05,4,799851,8.0
9.0,668,"Census Tract 9, Kings County, New York",932.0,4654.0, New York,47,900,36047000900,Census Tract 9, Kings County,7542,9319,163469.0,0.0,40.6917206,-73.9916018,35620.0,"New York-Newark-Jersey City, N",3.943283,3.9,0.01830154436,1.741538e-05,4,163468,9.0
9.0,668,"Census Tract 9, Richmond County, New York",386.0,1875.0, New York,85,900,36085000900,Census Tract 9, Richmond County,8598,10552,231877.0,0.0,40.6422065,-74.0828564,35620.0,"New York-Newark-Jersey City, N",3.049397,3.0,0.02511738986,2.468535e-05,3,231877,9.0
10.0,548,"Census Tract 10, Queens County, New York",875.0,4470.0, New York,81,1000,36081001000,Census Tract 10, Queens County,9273,11314,161256.0,0.0,40.6907493,-73.8592987,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01695523154,1.71794e-05,3,161256,10.0
10.01,7,"Census Tract 10.01, New York County, New York",335.0,1437.0, New York,61,1001,36061001001,Census Tract 10.01, New York County,8630,10589,80143.0,244297.0,40.714369,-73.9775854,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03140406182,3.457517e-05,4,324441,10.01
10.02,8,"Census Tract 10.02, New York County, New York",1140.0,5077.0, New York,61,1002,36061001002,Census Tract 10.02, New York County,8687,10649,199684.0,245138.0,40.7167358,-73.975094,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03215719635,4.740706e-05,4,444822,10.02
11.0,760,"Census Tract 11, Kings County, New York",279.0,1502.0, New York,47,1100,36047001100,Census Tract 11, Kings County,7543,9320,168507.0,0.0,40.6932903,-73.9877087,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01840462051,1.795272e-05,4,168508,11.0
11.0,760,"Census Tract 11, Richmond County, New York",690.0,3146.0, New York,85,1100,36085001100,Census Tract 11, Richmond County,8119,9990,325090.0,0.0,40.6387763,-74.0826654,35620.0,"New York-Newark-Jersey City, N",3.586707,3.6,0.02774556734,3.460691e-05,4,325090,11.0
12.0,619,"Census Tract 12, New York County, New York",1127.0,4258.0, New York,61,1200,36061001200,Census Tract 12, New York County,8688,10650,120597.0,0.0,40.7159065,-73.9820936,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01763440278,1.285273e-05,4,120598,12.0
12.0,619,"Census Tract 12, Queens County, New York",760.0,3615.0, New York,81,1200,36081001200,Census Tract 12, Queens County,9274,11315,227157.0,0.0,40.6942784,-73.8608412,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0203931247,2.420154e-05,3,227158,12.0
13.0,120,"Census Tract 13, Kings County, New York",376.0,1917.0, New York,47,1300,36047001300,Census Tract 13, Kings County,7544,9321,293167.0,0.0,40.697615,-73.9883586,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02408177129,3.123592e-05,4,293168,13.0
14.0,588,"Census Tract 14, Queens County, New York",994.0,4080.0, New York,81,1400,36081001400,Census Tract 14, Queens County,9221,11259,213714.0,0.0,40.6950787,-73.85525,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01929482526,2.276967e-05,3,213715,14.0
14.01,11,"Census Tract 14.01, New York County, New York",723.0,2999.0, New York,61,1401,36061001401,Census Tract 14.01, New York County,8689,10651,93505.0,0.0,40.7151603,-73.9873313,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01738730147,9.96523e-06,4,93506,14.01
14.02,90,"Census Tract 14.02, New York County, New York",426.0,2693.0, New York,61,1402,36061001402,Census Tract 14.02, New York County,8644,10604,113920.0,0.0,40.7175134,-73.9858814,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01407563849,1.21413e-05,4,113920,14.02
15.01,140,"Census Tract 15.01, Kings County, New York",1108.0,4875.0, New York,47,1501,36047001501,Census Tract 15.01, Kings County,8880,10863,165240.0,0.0,40.6959062,-73.9824665,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02116153954,1.760532e-05,4,165241,15.01
15.02,133,"Census Tract 15.02, Kings County, New York",808.0,4654.0, New York,47,1502,36047001502,Census Tract 15.02, Kings County,8897,10890,142146.0,0.0,40.6923209,-73.9835851,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01699000653,1.514392e-05,4,142146,15.02
16.0,1220,"Census Tract 16, Bronx County, New York",1635.0,5917.0, New York,5,1600,36005001600,Census Tract 16, Bronx County,8785,10759,485079.0,0.0,40.8188478,-73.8580764,35620.0,"New York-Newark-Jersey City, N",3.923825,3.9,0.03043820523,5.17758e-05,4,485076,16.0
16.0,1220,"Census Tract 16, New York County, New York",1824.0,7504.0, New York,61,1600,36061001600,Census Tract 16, New York County,7954,9804,207381.0,0.0,40.7159568,-73.993266,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02095618743,2.210189e-05,4,207384,16.0
16.0,1220,"Census Tract 16, Queens County, New York",616.0,2318.0, New York,81,1600,36081001600,Census Tract 16, Queens County,9261,11301,151499.0,0.0,40.6897177,-73.8548395,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01809189495,1.613988e-05,3,151500,16.0
17.0,425,"Census Tract 17, Richmond County, New York",278.0,1293.0, New York,85,1700,36085001700,Census Tract 17, Richmond County,8120,9991,306005.0,0.0,40.6344084,-74.0812295,35620.0,"New York-Newark-Jersey City, N",3.011288,3.0,0.02371004957,3.257299e-05,3,306003,17.0
