ct2010,building count,census,county,state,income,population,tract,GEOID20,INTPTLAT20,INTPTLON20
1.0,454,1.0,Kings County,New York,1261.0,4539.0,100,36047000100,40.700215,-73.9938089
2.0,1677,2.0,Bronx County,New York,913.0,4167.0,200,36005000200,40.8081797,-73.8566781
2.0,1677,2.0,Kings County,New York,264.0,992.0,200,36047000200,40.6532475,-74.0110678
2.0,1677,2.0,Queens County,New York,642.0,2638.0,200,36081000200,40.6932923,-73.8661578
2.01,44,2.01,New York County,New York,660.0,2761.0,201,36061000201,40.7098961,-73.9855833
2.02,56,2.02,New York County,New York,1729.0,6908.0,202,36061000202,40.7056637,-73.9814548
3.0,165,3.0,Richmond County,New York,538.0,2123.0,300,36085000300,40.6433411,-74.0752575
3.01,272,3.01,Kings County,New York,906.0,3642.0,301,36047000301,40.6963723,-73.9973735
4.0,1495,4.0,Bronx County,New York,1469.0,5684.0,400,36005000400,40.8087867,-73.8514252
4.0,1495,4.0,Queens County,New York,991.0,4280.0,400,36081000400,40.6896831,-73.8647717
5.01,162,5.01,Kings County,New York,670.0,4486.0,501,36047000501,40.6958143,-73.9947007
5.02,150,5.02,Kings County,New York,491.0,2654.0,502,36047000502,40.6951344,-73.9928614
6.0,1357,6.0,New York County,New York,2586.0,10628.0,600,36061000600,40.7102579,-73.9880558
6.0,1357,6.0,Queens County,New York,888.0,4039.0,600,36081000600,40.6859083,-73.8637277
6.0,1357,6.0,Richmond County,New York,421.0,2331.0,600,36085000600,40.6104075,-74.060977
7.0,1474,7.0,Kings County,New York,936.0,3899.0,700,36047000700,40.6923505,-73.9973434
7.0,1474,7.0,Richmond County,New York,1077.0,4325.0,700,36085000700,40.6478262,-74.0809582
8.0,2483,8.0,New York County,New York,2402.0,9292.0,800,36061000800,40.7101181,-73.9932525
8.0,2483,8.0,Queens County,New York,744.0,3146.0,800,36081000800,40.6873473,-73.8582587
8.0,2483,8.0,Richmond County,New York,1461.0,5553.0,800,36085000800,40.6119514,-74.0677131
9.0,668,9.0,Kings County,New York,932.0,4654.0,900,36047000900,40.6917206,-73.9916018
9.0,668,9.0,Richmond County,New York,386.0,1875.0,900,36085000900,40.6422065,-74.0828564
10.0,548,10.0,Queens County,New York,875.0,4470.0,1000,36081001000,40.6907493,-73.8592987
10.01,7,10.01,New York County,New York,335.0,1437.0,1001,36061001001,40.714369,-73.9775854
10.02,8,10.02,New York County,New York,1140.0,5077.0,1002,36061001002,40.7167358,-73.975094
11.0,760,11.0,Kings County,New York,279.0,1502.0,1100,36047001100,40.6932903,-73.9877087
11.0,760,11.0,Richmond County,New York,690.0,3146.0,1100,36085001100,40.6387763,-74.0826654
12.0,619,12.0,New York County,New York,1127.0,4258.0,1200,36061001200,40.7159065,-73.9820936
12.0,619,12.0,Queens County,New York,760.0,3615.0,1200,36081001200,40.6942784,-73.8608412
13.0,120,13.0,Kings County,New York,376.0,1917.0,1300,36047001300,40.697615,-73.9883586
14.0,588,14.0,Queens County,New York,994.0,4080.0,1400,36081001400,40.6950787,-73.85525
14.01,11,14.01,New York County,New York,723.0,2999.0,1401,36061001401,40.7151603,-73.9873313
14.02,90,14.02,New York County,New York,426.0,2693.0,1402,36061001402,40.7175134,-73.9858814
15.01,140,15.01,Kings County,New York,1108.0,4875.0,1501,36047001501,40.6959062,-73.9824665
15.02,133,15.02,Kings County,New York,808.0,4654.0,1502,36047001502,40.6923209,-73.9835851
16.0,1220,16.0,Bronx County,New York,1635.0,5917.0,1600,36005001600,40.8188478,-73.8580764
16.0,1220,16.0,New York County,New York,1824.0,7504.0,1600,36061001600,40.7159568,-73.993266
16.0,1220,16.0,Queens County,New York,616.0,2318.0,1600,36081001600,40.6897177,-73.8548395
17.0,425,17.0,Richmond County,New York,278.0,1293.0,1700,36085001700,40.6344084,-74.0812295
18.0,978,18.0,New York County,New York,1276.0,7101.0,1800,36061001800,40.7190464,-73.9908407
18.0,978,18.0,Queens County,New York,669.0,2599.0,1800,36081001800,40.69028,-73.8520154
20.0,1098,20.0,Kings County,New York,236.0,1503.0,2000,36047002000,40.6480407,-74.0159276
20.0,1098,20.0,New York County,New York,1108.0,4606.0,2000,36061002000,40.7206299,-73.9750259
20.0,1098,20.0,Queens County,New York,363.0,1577.0,2000,36081002000,40.6913525,-73.849516
20.01,498,20.01,Bronx County,New York,1115.0,4837.0,2001,36005002001,40.8173941,-73.8678806
20.01,498,20.01,Richmond County,New York,702.0,2909.0,2001,36085002001,40.6068893,-74.0709805
20.02,634,20.02,Bronx County,New York,1075.0,4768.0,2002,36005002002,40.817637,-73.8644248
20.02,634,20.02,Richmond County,New York,787.0,3182.0,2002,36085002002,40.6014736,-74.070295
21.0,1478,21.0,Richmond County,New York,1128.0,4849.0,2100,36085002100,40.6318596,-74.0752255
22.0,719,22.0,Kings County,New York,1035.0,4284.0,2200,36047002200,40.6434585,-74.0216933
22.0,719,22.0,Queens County,New York,567.0,2226.0,2200,36081002200,40.6959777,-73.8505707
22.01,104,22.01,New York County,New York,1094.0,6372.0,2201,36061002201,40.7191156,-73.9818443
22.02,97,22.02,New York County,New York,242.0,2123.0,2202,36061002202,40.7212597,-73.981141
23.0,22,23.0,Bronx County,New York,1125.0,4517.0,2300,36005002300,40.8090823,-73.9258441
23.0,22,23.0,Kings County,New York,1153.0,4133.0,2300,36047002300,40.6995617,-73.9832799
24.0,346,24.0,Queens County,New York,566.0,2295.0,2400,36081002400,40.6971881,-73.8465756
25.0,181,25.0,Bronx County,New York,1339.0,5694.0,2500,36005002500,40.8070025,-73.9208749
25.0,181,25.0,New York County,New York,1275.0,5483.0,2500,36061002500,40.7089899,-73.9962356
26.0,352,26.0,Queens County,New York,552.0,2133.0,2600,36081002600,40.6972603,-73.8430922
26.01,145,26.01,New York County,New York,656.0,3977.0,2601,36061002601,40.722585,-73.9799302
26.02,200,26.02,New York County,New York,579.0,3633.0,2602,36061002602,40.7243901,-73.978616
27.0,337,27.0,New York County,New York,367.0,1417.0,2700,36061002700,40.7125508,-73.9990121
27.0,337,27.0,Richmond County,New York,266.0,1805.0,2700,36085002700,40.6235871,-74.0764274
27.01,48,27.01,Bronx County,New York,637.0,2672.0,2701,36005002701,40.8050791,-73.9163464
27.02,161,27.02,Bronx County,New York,995.0,4504.0,2702,36005002702,40.8064496,-73.913773
28.0,735,28.0,Bronx County,New York,1336.0,5030.0,2800,36005002800,40.8225183,-73.8782336
28.0,735,28.0,New York County,New York,1249.0,6404.0,2800,36061002800,40.7268631,-73.9768122
28.0,735,28.0,Queens County,New York,766.0,3454.0,2800,36081002800,40.6923881,-73.8443722
29.0,1083,29.0,Richmond County,New York,1272.0,4867.0,2900,36085002900,40.6196581,-74.0827407
29.01,10,29.01,Kings County,New York,1053.0,4528.0,2901,36047002901,40.6949933,-73.9780959
30.0,536,30.0,Kings County,New York,399.0,1545.0,3000,36047003000,40.6388788,-74.0289766
30.0,536,30.0,Queens County,New York,345.0,1609.0,3000,36081003000,40.6916415,-73.8472679
30.01,216,30.01,New York County,New York,546.0,3727.0,3001,36061003001,40.7210056,-73.9868387
30.02,86,30.02,New York County,New York,421.0,2929.0,3002,36061003002,40.7229641,-73.9858661
31.0,418,31.0,Queens County,New York,234.0,1125.0,3100,36081003100,40.7531761,-73.9339044
32.0,602,32.0,New York County,New York,1473.0,7873.0,3200,36061003200,40.7255579,-73.9837166
32.0,602,32.0,Queens County,New York,438.0,1783.0,3200,36081003200,40.6873154,-73.846767
33.0,2065,33.0,Bronx County,New York,690.0,3140.0,3300,36005003300,40.8082418,-73.9119436
33.0,2065,33.0,Kings County,New York,791.0,4479.0,3300,36047003300,40.6885112,-73.9781063
33.0,2065,33.0,Richmond County,New York,827.0,3622.0,3300,36085003300,40.6255983,-74.086618
34.0,1222,34.0,Kings County,New York,829.0,3306.0,3400,36047003400,40.6404176,-74.0334392
34.0,1222,34.0,New York County,New York,871.0,6648.0,3400,36061003400,40.7290092,-73.9814618
34.0,1222,34.0,Queens County,New York,520.0,2545.0,3400,36081003400,40.6847731,-73.8581871
35.0,275,35.0,Bronx County,New York,1007.0,3738.0,3500,36005003500,40.8109651,-73.9086696
35.0,275,35.0,Kings County,New York,429.0,2080.0,3500,36047003500,40.6853252,-73.9761803
36.0,1476,36.0,Kings County,New York,824.0,3465.0,3600,36047003600,40.6346861,-74.0308979
36.0,1476,36.0,Queens County,New York,738.0,3550.0,3600,36081003600,40.6837714,-73.8568176
36.0,1476,36.0,Richmond County,New York,750.0,2965.0,3600,36085003600,40.6110687,-74.0759
36.01,95,36.01,New York County,New York,563.0,2909.0,3601,36061003601,40.7223222,-73.9911397
36.02,128,36.02,New York County,New York,348.0,3300.0,3602,36061003602,40.7245631,-73.990206
37.0,371,37.0,Kings County,New York,545.0,2568.0,3700,36047003700,40.6893925,-73.9847008
38.0,1214,38.0,Bronx County,New York,267.0,1169.0,3800,36005003800,40.8202946,-73.8633435
38.0,1214,38.0,Kings County,New York,331.0,1335.0,3800,36047003800,40.6344225,-74.0357544
38.0,1214,38.0,New York County,New York,1021.0,8886.0,3800,36061003800,40.727367,-73.9884655
38.0,1214,38.0,Queens County,New York,648.0,2736.0,3800,36081003800,40.6847999,-73.8474941
39.0,1259,39.0,Bronx County,New York,1075.0,6736.0,3900,36005003900,40.8097217,-73.9214264
39.0,1259,39.0,Kings County,New York,437.0,2340.0,3900,36047003900,40.6849013,-73.980824
39.0,1259,39.0,Queens County,New York,329.0,1389.0,3900,36081003900,40.7627994,-73.9409316
39.0,1259,39.0,Richmond County,New York,588.0,2373.0,3900,36085003900,40.6211881,-74.0933501
40.01,562,40.01,Bronx County,New York,336.0,1425.0,4001,36005004001,40.8282719,-73.8583355
40.01,562,40.01,New York County,New York,580.0,3599.0,4001,36061004001,40.7302738,-73.9849042
40.01,562,40.01,Queens County,New York,515.0,2107.0,4001,36081004001,40.6832481,-73.8458743
40.01,562,40.01,Richmond County,New York,518.0,2996.0,4001,36085004001,40.6188936,-74.0757005
