census,county,state,income,population,tract,GEOID20,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area
92.02,Kings County,New York,827.0,3453.0,009202,36047009202,8876,10858,56624.0,0.0,40.6446517,-73.9982381,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.00999170271,6.0284e-06,3,56625
94.01,Kings County,New York,484.0,2293.0,009401,36047009401,8901,10896,75483.0,0.0,40.6440222,-74.0024807,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01161571547,8.0361e-06,3,75483
94.02,Kings County,New York,631.0,2746.0,009402,36047009402,8875,10857,75543.0,0.0,40.6426913,-74.000278,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01161494344,8.04242e-06,3,75544
96.0,Kings County,New York,1273.0,5858.0,009600,36047009600,8355,10264,150752.0,0.0,40.6460153,-74.0057847,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0167588384,1.604958e-05,3,150750
98.0,Kings County,New York,1247.0,6021.0,009800,36047009800,8356,10265,151006.0,0.0,40.6437764,-74.0081153,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01676149912,1.607624e-05,3,151005
100.0,Kings County,New York,1275.0,5978.0,010000,36047010000,8357,10266,150970.0,0.0,40.6415355,-74.0104457,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01675709444,1.607198e-05,3,150970
101.0,Kings County,New York,794.0,3944.0,010100,36047010100,8358,10267,314730.0,0.0,40.6583907,-73.9998245,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02407743019,3.351365e-05,4,314729
102.0,Kings County,New York,1060.0,4844.0,010200,36047010200,9650,11710,152450.0,0.0,40.6392844,-74.0127872,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01681981674,1.622916e-05,3,152452
104.01,Kings County,New York,545.0,2152.0,010401,36047010401,8900,10895,76142.0,0.0,40.6372888,-74.0094827,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01167168011,8.10546e-06,3,76143
104.02,Kings County,New York,509.0,2256.0,010402,36047010402,8905,10901,76170.0,0.0,40.6359594,-74.0072805,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01167019605,8.10825e-06,3,76170
106.01,Kings County,New York,567.0,2315.0,010601,36047010601,8894,10884,75434.0,0.0,40.6395396,-74.0071422,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01160933625,8.03039e-06,3,75435
106.02,Kings County,New York,431.0,1952.0,010602,36047010602,8907,10903,75498.0,0.0,40.6382102,-74.0049387,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01161298972,8.03697e-06,3,75498
108.01,Kings County,New York,443.0,1957.0,010801,36047010801,8906,10902,75490.0,0.0,40.6417811,-74.0048117,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01161468836,8.03645e-06,3,75489
108.02,Kings County,New York,528.0,2022.0,010802,36047010802,8908,10904,75489.0,0.0,40.6404508,-74.0026095,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01161444355,8.03623e-06,3,75489
110.0,Kings County,New York,503.0,2356.0,011000,36047011000,8359,10268,158059.0,0.0,40.6445789,-73.9927738,35620.0,"New York-Newark-Jersey City, N",3.995583,4.0,0.01749896876,1.682725e-05,4,158058
112.0,Kings County,New York,1547.0,6088.0,011200,36047011200,8360,10269,171313.0,0.0,40.6422528,-73.9956749,35620.0,"New York-Newark-Jersey City, N",3.689055,3.7,0.01769882532,1.823784e-05,4,171313
114.0,Kings County,New York,786.0,3846.0,011400,36047011400,8361,10270,167792.0,0.0,40.6394233,-73.9992118,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01764876508,1.786235e-05,3,167793
116.0,Kings County,New York,838.0,3510.0,011600,36047011600,8362,10271,160266.0,0.0,40.6358731,-74.0036488,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01886391803,1.70602e-05,3,160267
117.0,Kings County,New York,676.0,2949.0,011700,36047011700,8363,10272,201195.0,0.0,40.6685626,-73.9933107,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01837972103,2.142732e-05,4,201195
118.0,Kings County,New York,453.0,1951.0,011800,36047011800,9707,11770,219234.0,0.0,40.6351044,-74.0114899,35620.0,"New York-Newark-Jersey City, N",3.079781,3.1,0.02592236527,2.333667e-05,3,219231
119.01,Kings County,New York,322.0,1358.0,011901,36047011901,8898,10891,448425.0,21859.0,40.677193,-73.9878271,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03067834745,5.009112e-05,4,470283
120.0,Kings County,New York,340.0,1327.0,012000,36047012000,8364,10273,193342.0,0.0,40.6327817,-74.0117295,35620.0,"New York-Newark-Jersey City, N",3.652869,3.7,0.02453426836,2.058015e-05,4,193343
121.0,Kings County,New York,415.0,1968.0,012100,36047012100,8365,10274,148056.0,0.0,40.671479,-73.991049,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01662976193,1.576862e-05,4,148055
122.0,Kings County,New York,1063.0,5144.0,012200,36047012200,9649,11709,181661.0,0.0,40.638166,-74.0175772,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01802039501,1.933822e-05,3,181661
126.0,Kings County,New York,599.0,2799.0,012600,36047012600,8208,10093,235982.0,0.0,40.634819,-74.0190415,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02355173256,2.511966e-05,2,235982
127.0,Kings County,New York,779.0,4066.0,012700,36047012700,8366,10275,163391.0,0.0,40.6817476,-73.9828507,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01699802528,1.740446e-05,4,163390
128.01,Kings County,New York,510.0,2279.0,012801,36047012801,9619,11679,114974.0,0.0,40.6308009,-74.0133027,35620.0,"New York-Newark-Jersey City, N",2.156169,2.2,0.01549567719,1.223801e-05,2,114975
129.01,Kings County,New York,477.0,2246.0,012901,36047012901,8367,10276,128568.0,0.0,40.6816216,-73.9786547,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01581801027,1.369524e-05,4,128569
129.02,Kings County,New York,511.0,2724.0,012902,36047012902,8368,10277,135381.0,0.0,40.6809277,-73.9760597,35620.0,"New York-Newark-Jersey City, N",3.648429,3.6,0.01821055887,1.442066e-05,4,135380
130.0,Kings County,New York,964.0,4416.0,013000,36047013000,7729,9549,176432.0,0.0,40.6325873,-74.0213843,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01780886022,1.878014e-05,2,176432
131.0,Kings County,New York,964.0,4267.0,013100,36047013100,8369,10278,156395.0,0.0,40.6777175,-73.9796019,35620.0,"New York-Newark-Jersey City, N",3.742074,3.7,0.01717124706,1.665846e-05,4,156396
132.0,Kings County,New York,541.0,2299.0,013200,36047013200,8370,10279,155778.0,0.0,40.6279744,-74.0156708,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.019901221,1.658046e-05,2,155778
133.0,Kings County,New York,1088.0,4465.0,013300,36047013300,9761,11824,148492.0,0.0,40.6751824,-73.9813092,35620.0,"New York-Newark-Jersey City, N",3.543602,3.5,0.01680537324,1.581587e-05,4,148491
134.0,Kings County,New York,948.0,4163.0,013400,36047013400,8371,10280,268233.0,0.0,40.6295241,-74.0202705,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02720566477,2.855037e-05,2,268232
135.0,Kings County,New York,995.0,4240.0,013500,36047013500,9663,11723,151867.0,0.0,40.672811,-73.9833133,35620.0,"New York-Newark-Jersey City, N",3.567257,3.6,0.01690160691,1.617483e-05,4,151866
136.0,Kings County,New York,889.0,3829.0,013600,36047013600,8372,10281,214252.0,0.0,40.6268984,-74.0225939,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02575589882,2.2804e-05,2,214253
137.0,Kings County,New York,762.0,3484.0,013700,36047013700,8373,10282,152453.0,0.0,40.6703973,-73.9853274,35620.0,"New York-Newark-Jersey City, N",3.581547,3.6,0.01692948036,1.623675e-05,4,152453
138.0,Kings County,New York,847.0,3527.0,013800,36047013800,8374,10283,162579.0,0.0,40.6243111,-74.0255174,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02033773898,1.730349e-05,2,162580
139.0,Kings County,New York,829.0,3574.0,013900,36047013900,9614,11674,151331.0,0.0,40.6679862,-73.9873365,35620.0,"New York-Newark-Jersey City, N",3.964995,4.0,0.01687835982,1.611672e-05,4,151332
140.0,Kings County,New York,602.0,1944.0,014000,36047014000,9714,11777,147522.0,0.0,40.6207782,-74.0196779,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01776859624,1.570031e-05,2,147525
141.01,Kings County,New York,212.0,968.0,014101,36047014101,8867,10848,75853.0,0.0,40.6661833,-73.9888407,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01375945117,8.07805e-06,4,75853
141.02,Kings County,New York,462.0,1863.0,014102,36047014102,8866,10847,89630.0,0.0,40.6648134,-73.9898324,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01424373711,9.54518e-06,4,89631
142.0,Kings County,New York,746.0,2992.0,014200,36047014200,9889,11961,200223.0,0.0,40.6225046,-74.0224901,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02356020654,2.130967e-05,2,200227
143.0,Kings County,New York,777.0,3599.0,014300,36047014300,9675,11736,217205.0,0.0,40.6636266,-73.9926558,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02147473676,2.313083e-05,4,217206
